Statements,Labels
"The Brave Warriors played a friendly encounter against Lesotho in Soweto on Saturday with Erastus Kalula opening the scoring in the second half, but Lesotho then equalising for a 1-1 draw.",Non Record
Brad Evans was Cricinfo's MVP with 83.98 points.,Non Record
Shan Masood and Shadab Khan kept the scoreboard ticking before Raza scalped two wickets in consecutive deliveries.,Non Record
"Royce Lewis expressed excitement about Byron Buxton's return, calling it a glimmer of hope.",Non Record
"The New York Yankees advanced to their 41st World Series, their first in 15 years.",Non Record
Chávez scores the first goal for Mexico in the 43rd minute.,Non Record
Ronel Blanco threw six scoreless innings.,Non Record
Kieron Pollard praised his team for their effort and mentioned the importance of runs on the board.,Non Record
A 68-run partnership between Mohammad Nabi and Azmatullah Omarzai lifted Afghanistan to 158 for five.,Non Record
Detroit Tigers had slim playoff hopes and needed to win against Boston to stay in the wild card race.,Non Record
"The game was attended by 40,101 fans at Wrigley Field.",Non Record
"Adil Rashid took 1 for 21 from his four overs, restricting West Indies' batters.",Non Record
"Ohtani enters October coming off one of the most staggering months of his career, slashing a ridiculous .393/.458/.766 with 10 home runs in September, helping L.A. lock down the best record in baseball.",Record
"Head-to-head record: Matches played: 11, India won: 7, Pakistan won: 3.",Non Record
"Pakistan will now take on England or India at the MCG, the same venue where they won the ODI World Cup in 1992.",Non Record
Manager Craig Counsell praised the team's resilience and great at-bats.,Non Record
The Brewers will attempt to become the first team to win a best-of-three Wild Card Series after losing the opener since MLB went to this expanded playoff format in 2022.,Non Record
The game is set to take place at 9:30 AM IST and will be broadcasted exclusively on Star Sports and live-streamed on Hotstar.,Non Record
"India's Shubman Gill and Suryakumar Yadav came for the Super OVER, while Maheesh Theekshana came to bowl. SKY slammed a FOUR on the first delivery and thereby won the match.",Non Record
Devers added a two-run single in Boston's four-run fifth inning.,Non Record
Chicago White Sox set a modern major league record with their 121st loss.,Record
Fans from all over the world are flocking to Melbourne for the sold-out T20 World Cup cricket clash between India and Pakistan.,Non Record
Steve Smith's 35 off 24-balls.,Non Record
"In the second match, Pakistan successfully chased down a 194-run target set by Ireland.",Non Record
"Shohei Ohtani achieved a career-high 104 runs this season, surpassing his previous record of 103 set in 2021.",Record
"Christian Bethancourt homered to center (431 feet), Crow-Armstrong scored.",Non Record
Fazalhaq Farooqi was named Player of the Match.,Non Record
"The two teams are separated by 91 places on the Fifa rankings, with the Flames on 123 whereas Carthage Eagles are on position 32 in the world.",Non Record
Alex Hales is having a dream comeback as he smacked 86 runs off 47 balls with 4 fours & 7 sixes and was adjudged the player of the match.,Non Record
"Mark Chapman commented on the ground afterwards, 'I think we know Pakistan have a great attack, 178 was a chase-able score, generally it's high scoring here.'",Non Record
The Diamondbacks have the best team on-base percentage in the NL at .337.,Non Record
Sam Curran has been the best bowler for England with 10 wickets to his name.,Record
The Guardians finished 6-3 on a three-city trip that included stops in Kansas City and at Dodger Stadium in Los Angeles.,Non Record
"Ohtani became the third player in major league history with at least six hits, three homers, and 10 RBIs in a game.",Record
Australia set their highest T20I score on home soil of 241 for 4.,Record
Walker Buehler reflected on his return to pitching in big games after undergoing a second Tommy John surgery.,Non Record
Miami matched a season high with 12 runs and set a season high with 18 hits.,Record
Captain Gerhard Erasmus won the toss and opted to bowl on a pitch that had plenty of assistance for bowlers.,Non Record
Team owner Steve Cohen expressed excitement as Alonso's ball cleared the fence.,Non Record
Tom Cooper's impactful innings,Non Record
Glenn Maxwell scored 54 off 32 with six fours and two sixes,Non Record
77' K. Akturkoglu substituted in for K. Yildiz.,Non Record
"Tyler Anderson started the game and threw a middle-of-the-pack outing, lasting five innings and allowing four earned runs.",Non Record
Atlanta is 87-71 overall and 44-33 in home games. The Braves have gone 60-25 in games when they record at least eight hits.,Non Record
"Yashasvi Jaiswal became the youngest Indian batsman to post 75-plus runs in T20Is, breaking Rohit Sharma's 13-year-old record.",Record
"Philadelphia manager Rob Thomson expressed disappointment in losing a tight, low-scoring game.",Non Record
Ottneil Baartman is the leading South African wicket-taker in T20s this year with 34 wickets at an average of 15.17.,Record
Nicholas Pooran top-scored for West Indies with 67 runs in 40 balls.,Non Record
Dansby Swanson stole 2nd base in the 9th inning.,Non Record
"The Dodgers set a postseason record for walks (42) and runs (46, 6.7/per game) in a series.",Record
The match was held at SCG on 27 October 2022.,Non Record
Pakistan's powerplay score of 28 for 2 is their lowest against Zimbabwe.,Record
"If Moldova finishes second, they will play a playoff against one of the lowest-ranked teams from Liga C.",Non Record
Jordan Westburg and Ramón Urías started rehab assignments at Triple-A Norfolk.,Non Record
Naseem Shah clobbered consecutive sixes off fast bowler Fazalhaq Farooqi in the final over to take Pakistan to 9-131 and the victory.,Non Record
Kochanowicz has allowed two earned runs in two of his last three starts.,Non Record
"Emmanuel Clase picked up his league-leading 45th save, a career high, moving one save closer to the Guardians’ single-season record of 46 held by Jose Mesa (1995).",Record
The White Sox tied the major-league record for most losses in a season with 120 losses.,Record
"The latest betting odds in Australia for Wednesday's MLB game at Fenway Park are shown here: Head to Head: Red Sox $1.71, Blue Jays $2.15; Line: Red Sox -1.5 ($2.40), Blue Jays +1.5 ($1.57); Total (Over/Under 9.5 Runs): Over $1.91, Under $1.91.",Non Record
Abu Komeh scored a goal for Sierra Leone at the 10th minute.,Non Record
"Driton Camaj set up a grandstand finish, but Wales held on for three points.",Non Record
Atlanta improves to 96-50 on the season — the best record in the majors.,Record
"The Dodgers had the longest scoreless streak to close out a playoff series in the 21st century, and third-longest in the history of the sport.",Record
"Amad, a Pakistan fan, expressed that the match meant everything to him and mentioned celebrations in Pakistan.",Non Record
Luken Baker hit a two-run homer in the fourth inning.,Non Record
Sam Curran needed one more wicket to reach 50 in T20Is.,Record
Jos Buttler chose to bat first on a used pitch.,Non Record
Evan Phillips picked up his 17th save in a clean ninth inning.,Record
West Indies posted a record-breaking total on the board courtesy of a swash-buckling 98 from Nicholas Pooran.,Record
Dodgers: RHP Jack Flaherty has a sore wrist with minimal swelling after taking a comebacker off it on Tuesday.,Non Record
Netherlands bowled well as a group and managed to restrict Namibia to 121 runs,Non Record
Gerrit Cole admitted that the decision to walk Devers was a mistake and it affected his performance.,Non Record
Matt Wallner hit a 435-foot home run to center field.,Non Record
"The Chicago White Sox will take on the Texas Rangers in MLB action at Guaranteed Rate Field on Wednesday, commencing at 10:10am AEST.",Non Record
Garrett Crochet tied an AL record by striking out seven consecutive batters to start the game.,Record
Jazz Chisholm has recorded a Double in three of his last four appearances after playing the previous day.,Record
"All channels will broadcast Sky Sports’ coverage which includes the award-winning commentary team of Ian Ward and former England captains Nasser Hussain, Michael Atherton and Eoin Morgan.",Non Record
Noelvi Marte doubled to give the Reds a 3-1 lead.,Non Record
Atlanta Braves manager Brian Snitker discussed Matt Olson’s resurgence and its impact on the team's offense.,Non Record
